Fecha de comienzo,Fecha de finalizaci—n ,Duraci—n [Mins],Location,Simultaneo?,Productivo?
01/10/21 8:00,01/10/21 9:00,60,Zoom,0,0
01/10/21 9:00,01/10/21 10:00,60,Zoom,1,0
01/10/21 9:00,01/10/21 9:15,15,Zoom,1,0
01/10/21 9:30,01/10/21 10:00,30,Zoom,0,0
01/10/21 11:15,01/10/21 11:45,30,Zoom,0,1
01/10/21 13:30,01/10/21 14:00,30,Zoom,1,0
01/10/21 13:30,01/10/21 14:00,30,Zoom,1,0
01/10/21 14:30,01/10/21 15:00,30,Zoom,0,1
01/10/21 16:00,01/10/21 17:00,60,Zoom,1,0
01/10/21 16:00,01/10/21 16:30,30,Zoom,1,1
04/10/21 8:00,04/10/21 9:00,60,Zoom,0,0
04/10/21 9:00,04/10/21 9:15,15,Zoom,0,1
04/10/21 9:15,04/10/21 9:30,15,Zoom,0,1
04/10/21 9:30,04/10/21 10:00,30,Zoom,1,1
04/10/21 9:30,04/10/21 10:30,60,Zoom,1,0
04/10/21 11:00,04/10/21 11:30,30,Zoom,0,0
04/10/21 11:30,04/10/21 12:00,30,Zoom,0,1
04/10/21 13:00,04/10/21 14:00,60,Zoom,0,1
04/10/21 15:00,04/10/21 16:00,60,Zoom,0,0
04/10/21 15:30,04/10/21 15:55,25,Zoom,0,1
05/10/21 8:00,05/10/21 8:30,30,Zoom,1,1
05/10/21 8:00,05/10/21 9:00,60,Zoom,1,0
05/10/21 11:00,05/10/21 11:30,30,Zoom,1,0
05/10/21 11:00,05/10/21 12:00,60,Zoom,1,0
05/10/21 11:00,05/10/21 11:45,45,Zoom,1,1
05/10/21 11:15,05/10/21 11:45,30,Zoom,0,0
05/10/21 13:00,05/10/21 14:00,60,Zoom,0,1
05/10/21 15:00,05/10/21 15:30,30,Zoom,1,1
05/10/21 15:00,05/10/21 15:30,30,Zoom,1,0
05/10/21 15:30,05/10/21 16:30,60,Zoom,0,1
05/10/21 16:00,05/10/21 17:00,60,Zoom,1,0
05/10/21 16:00,05/10/21 19:30,210,Zoom,1,1
06/10/21 7:30,06/10/21 8:00,30,Zoom,0,0
06/10/21 8:00,06/10/21 9:00,60,Zoom,0,0
06/10/21 9:00,06/10/21 10:30,90,Zoom,0,1
06/10/21 12:00,06/10/21 12:30,30,Zoom,0,1
06/10/21 12:30,06/10/21 13:00,30,Zoom,0,1
